"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"KTKBANK","EQ","13-Jun-2025","207.22","204.12","206.58","202.58","205.90","205.43","204.90","10,66,699","21,85,64,377.18","19,476","5,18,850","48.64"
"KTKBANK","EQ","16-Jun-2025","205.43","205.80","208.20","202.80","205.80","205.66","205.40","11,28,508","23,17,94,003.51","23,519","5,65,792","50.14"
"KTKBANK","EQ","17-Jun-2025","205.66","206.10","208.94","205.00","205.13","205.77","206.44","7,59,847","15,68,63,820.21","11,786","3,90,091","51.34"
"KTKBANK","EQ","18-Jun-2025","205.77","205.00","206.35","202.63","203.65","203.27","204.25","6,03,526","12,32,70,277.18","12,159","2,81,465","46.64"
"KTKBANK","EQ","19-Jun-2025","203.27","203.27","204.49","197.53","200.00","199.91","200.19","9,40,331","18,82,43,841.83","18,585","4,99,852","53.16"
"KTKBANK","EQ","20-Jun-2025","199.91","199.91","202.27","199.20","201.00","200.37","200.60","5,62,965","11,29,29,286.17","13,199","2,62,311","46.59"
"KTKBANK","EQ","23-Jun-2025","200.37","198.50","206.29","198.50","205.01","204.52","201.95","10,97,617","22,16,60,000.06","19,058","6,39,197","58.23"
"KTKBANK","EQ","24-Jun-2025","204.52","205.99","210.60","205.00","205.50","205.81","207.04","17,56,313","36,36,22,666.19","24,316","10,65,336","60.66"
"KTKBANK","EQ","25-Jun-2025","205.81","205.90","209.40","205.00","207.41","207.40","207.48","5,14,613","10,67,73,132.19","10,123","2,35,340","45.73"
"KTKBANK","EQ","26-Jun-2025","207.40","207.79","209.21","205.00","207.90","207.91","207.28","12,25,806","25,40,89,188.24","12,825","7,90,713","64.51"
"KTKBANK","EQ","27-Jun-2025","207.91","209.00","209.44","206.72","208.70","207.65","208.01","11,99,082","24,94,21,950.04","18,662","8,06,507","67.26"
"KTKBANK","EQ","30-Jun-2025","207.65","199.50","204.83","190.00","195.90","195.67","195.23","1,78,00,774","3,47,52,98,834.27","1,47,244","71,62,380","40.24"
"KTKBANK","EQ","01-Jul-2025","195.67","197.51","198.49","193.50","196.95","196.77","196.26","39,43,909","77,40,30,623.90","60,179","21,39,002","54.24"
"KTKBANK","EQ","02-Jul-2025","196.77","197.76","197.77","194.25","195.19","195.06","195.19","23,21,474","45,31,26,095.02","45,636","14,63,954","63.06"
"KTKBANK","EQ","03-Jul-2025","195.06","195.06","195.70","192.50","193.70","193.93","193.74","17,37,883","33,66,93,942.07","30,696","8,85,052","50.93"
"KTKBANK","EQ","04-Jul-2025","193.93","193.06","195.41","192.98","193.83","193.70","193.74","11,51,289","22,30,53,731.00","18,998","6,34,490","55.11"
