"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"DRREDDY","EQ","07-Oct-2024","6,633.25","6,683.55","6,712.05","6,581.10","6,629.00","6,609.90","6,640.53","4,44,838","2,95,39,59,780.50","48,175","2,87,189","64.56"
"DRREDDY","EQ","08-Oct-2024","6,609.90","6,609.95","6,668.00","6,575.00","6,650.00","6,656.05","6,628.85","2,79,110","1,85,01,79,424.60","37,949","1,78,981","64.13"
"DRREDDY","EQ","09-Oct-2024","6,656.05","6,696.00","6,754.90","6,647.10","6,660.00","6,664.85","6,692.27","3,36,073","2,24,90,90,418.40","37,888","1,83,847","54.70"
"DRREDDY","EQ","10-Oct-2024","6,664.85","6,698.00","6,698.00","6,553.70","6,581.00","6,583.10","6,599.96","3,16,547","2,08,91,98,150.45","57,918","1,63,970","51.80"
"DRREDDY","EQ","11-Oct-2024","6,583.10","6,585.00","6,624.70","6,545.05","6,600.00","6,599.20","6,591.59","2,26,045","1,48,99,95,063.60","31,901","1,30,453","57.71"
"DRREDDY","EQ","14-Oct-2024","6,599.20","6,636.00","6,690.95","6,600.00","6,660.00","6,659.90","6,652.49","2,23,519","1,48,69,57,835.45","31,518","1,46,650","65.61"
"DRREDDY","EQ","15-Oct-2024","6,659.90","6,684.00","6,699.90","6,605.20","6,620.00","6,611.65","6,627.66","2,84,653","1,88,65,83,809.55","40,124","1,88,835","66.34"
"DRREDDY","EQ","16-Oct-2024","6,611.65","6,640.00","6,745.95","6,629.05","6,700.00","6,710.90","6,706.42","3,69,924","2,48,08,64,139.65","39,721","2,05,920","55.67"
"DRREDDY","EQ","17-Oct-2024","6,710.90","6,744.80","6,775.00","6,650.45","6,700.00","6,704.05","6,710.16","3,63,823","2,44,13,11,477.55","42,107","1,89,164","51.99"
"DRREDDY","EQ","18-Oct-2024","6,704.05","6,704.05","6,774.00","6,662.40","6,736.50","6,741.10","6,743.38","2,28,623","1,54,16,91,345.50","28,743","1,09,159","47.75"
"DRREDDY","EQ","21-Oct-2024","6,741.10","6,770.00","6,770.00","6,686.05","6,694.05","6,697.40","6,713.31","2,35,055","1,57,79,96,886.20","31,388","1,42,511","60.63"
"DRREDDY","EQ","22-Oct-2024","6,697.40","6,727.00","6,755.00","6,632.30","6,654.00","6,662.40","6,695.64","3,80,997","2,55,10,19,719.75","41,721","2,29,193","60.16"
"DRREDDY","EQ","23-Oct-2024","6,662.40","6,659.35","6,688.10","6,590.00","6,618.00","6,607.90","6,636.26","3,09,772","2,05,57,26,247.45","36,284","1,92,485","62.14"
"DRREDDY","EQ","24-Oct-2024","6,607.90","6,644.00","6,644.00","6,569.20","6,585.40","6,582.70","6,595.39","3,17,461","2,09,37,78,959.00","44,382","1,89,264","59.62"
"DRREDDY","EQ","25-Oct-2024","6,582.70","6,570.00","6,582.00","6,450.10","6,510.00","6,514.70","6,506.20","2,57,166","1,67,31,74,189.75","42,997","1,44,063","56.02"
"DRREDDY","EQ","28-Oct-2024","6,514.70","1,320.00","1,325.90","1,290.25","1,318.00","1,311.50","1,310.70","8,29,374","1,08,70,62,728.75","78,189","4,30,032","51.85"
"DRREDDY","EQ","29-Oct-2024","1,311.50","1,327.00","1,335.40","1,263.50","1,278.50","1,274.70","1,281.80","14,43,741","1,85,05,85,542.00","96,911","6,54,878","45.36"
"DRREDDY","EQ","30-Oct-2024","1,274.70","1,273.00","1,273.00","1,228.80","1,251.00","1,249.85","1,246.83","20,65,575","2,57,54,26,220.50","1,13,568","10,95,266","53.02"
"DRREDDY","EQ","31-Oct-2024","1,249.85","1,258.60","1,283.65","1,248.00","1,274.00","1,274.20","1,268.39","19,02,206","2,41,27,43,357.50","1,23,913","9,67,617","50.87"
"DRREDDY","EQ","01-Nov-2024","1,274.20","1,280.00","1,289.00","1,201.80","1,262.00","1,259.60","1,261.34","5,40,201","68,13,75,559.05","42,555","2,74,353","50.79"
"DRREDDY","EQ","04-Nov-2024","1,259.60","1,259.60","1,276.90","1,250.55","1,269.95","1,268.30","1,265.23","17,71,490","2,24,13,42,595.60","90,756","8,55,039","48.27"
"DRREDDY","EQ","05-Nov-2024","1,268.30","1,265.10","1,279.00","1,241.25","1,276.90","1,272.20","1,263.06","16,03,920","2,02,58,41,909.70","79,480","9,07,449","56.58"
"DRREDDY","EQ","06-Nov-2024","1,272.20","1,274.00","1,321.90","1,251.60","1,300.45","1,302.10","1,300.52","39,08,554","5,08,31,53,704.70","1,37,019","15,57,923","39.86"
"DRREDDY","EQ","07-Nov-2024","1,302.10","1,304.95","1,309.00","1,280.55","1,288.00","1,287.35","1,291.11","14,79,152","1,90,97,46,399.25","1,05,639","8,39,442","56.75"
"DRREDDY","EQ","08-Nov-2024","1,287.35","1,292.80","1,293.00","1,259.15","1,280.00","1,283.65","1,275.40","13,28,199","1,69,39,89,267.55","72,617","7,62,668","57.42"
"DRREDDY","EQ","11-Nov-2024","1,283.65","1,284.00","1,295.25","1,262.15","1,286.20","1,287.90","1,286.25","11,75,591","1,51,21,09,270.60","96,347","6,99,877","59.53"
"DRREDDY","EQ","12-Nov-2024","1,287.90","1,287.85","1,288.40","1,258.30","1,258.35","1,263.90","1,273.26","11,10,785","1,41,43,14,928.75","92,808","7,01,371","63.14"
"DRREDDY","EQ","13-Nov-2024","1,263.90","1,258.00","1,265.05","1,238.30","1,245.80","1,245.00","1,247.33","9,95,217","1,24,13,60,858.20","80,657","5,99,991","60.29"
"DRREDDY","EQ","14-Nov-2024","1,245.00","1,249.90","1,253.00","1,222.20","1,228.80","1,226.70","1,231.53","13,46,891","1,65,87,39,660.50","1,02,788","7,96,310","59.12"
"DRREDDY","EQ","18-Nov-2024","1,226.70","1,206.10","1,219.80","1,170.20","1,193.00","1,193.55","1,194.01","33,67,815","4,02,12,15,420.70","2,16,575","19,62,941","58.29"
"DRREDDY","EQ","19-Nov-2024","1,193.55","1,193.00","1,232.00","1,186.25","1,213.40","1,213.45","1,215.75","15,09,716","1,83,54,44,446.90","96,924","7,83,164","51.87"
"DRREDDY","EQ","21-Nov-2024","1,213.45","1,174.90","1,206.70","1,172.50","1,192.80","1,195.35","1,191.08","21,21,476","2,52,68,43,581.10","1,11,315","6,52,663","30.76"
