"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"ITC","EQ","15-Sep-2025","413.75","413.05","414.30","411.75","412.80","412.65","413.05","57,07,331","2,35,74,18,512.55","91,972","35,10,955","61.52"
"ITC","EQ","16-Sep-2025","412.65","413.20","414.35","412.00","413.65","413.10","413.12","82,39,087","3,40,37,29,371.05","97,899","48,73,272","59.15"
"ITC","BL","16-Sep-2025","401.60","412.65","412.65","412.65","412.65","412.65","412.65","5,90,933","24,38,48,502.45","1","-","-"
"ITC","EQ","17-Sep-2025","413.10","413.95","414.60","408.05","410.05","409.30","410.17","1,41,13,882","5,78,91,28,854.55","1,47,228","97,25,314","68.91"
"ITC","BL","18-Sep-2025","412.65","409.30","409.30","409.30","409.30","409.30","409.30","6,45,111","26,40,43,932.30","1","-","-"
"ITC","EQ","18-Sep-2025","409.30","411.35","413.05","410.10","412.50","411.55","411.51","1,56,47,808","6,43,92,99,773.30","1,05,500","1,10,51,490","70.63"
"ITC","EQ","19-Sep-2025","411.55","411.55","412.60","408.95","410.00","410.65","410.47","1,95,05,321","8,00,63,79,578.25","1,19,041","1,40,18,475","71.87"
"ITC","EQ","22-Sep-2025","410.65","410.65","411.00","406.05","407.00","406.95","408.02","89,30,779","3,64,39,75,296.25","1,28,779","62,49,765","69.98"
"ITC","EQ","23-Sep-2025","406.95","407.10","408.10","402.10","404.00","403.20","403.67","1,49,36,357","6,02,94,14,917.85","1,65,353","88,57,898","59.30"
"ITC","EQ","24-Sep-2025","403.20","403.20","404.65","400.70","401.00","401.00","401.65","1,23,80,865","4,97,28,36,129.35","1,17,613","97,52,591","78.77"
"ITC","EQ","25-Sep-2025","401.00","401.45","403.00","398.00","400.45","400.10","400.05","2,20,06,368","8,80,36,08,106.55","1,74,393","1,55,63,104","70.72"
"ITC","EQ","26-Sep-2025","400.10","400.10","405.90","399.80","405.00","405.10","403.62","1,44,14,044","5,81,77,82,528.90","1,20,767","90,38,880","62.71"
"ITC","EQ","29-Sep-2025","405.10","406.90","408.00","403.20","404.40","407.25","406.55","1,97,17,660","8,01,61,25,728.80","1,38,356","1,40,83,060","71.42"
"ITC","EQ","30-Sep-2025","407.25","406.75","406.75","400.40","401.70","401.55","402.22","94,65,490","3,80,71,99,569.50","1,35,011","58,53,103","61.84"
"ITC","EQ","01-Oct-2025","401.55","402.35","406.00","399.75","404.90","405.60","403.72","1,76,43,039","7,12,28,31,971.25","1,16,986","1,24,14,506","70.36"
"ITC","EQ","03-Oct-2025","405.60","404.90","405.50","402.30","404.60","404.30","404.32","1,69,87,141","6,86,82,13,808.30","1,19,898","1,33,99,155","78.88"
"ITC","EQ","06-Oct-2025","404.30","403.00","403.90","399.80","401.10","400.75","400.71","1,39,89,077","5,60,55,84,637.30","1,19,696","1,06,47,662","76.11"
